user_name,anime_id,title,url,score
mattslist,40776,Haikyu!! To the Top 2nd-cour,https://myanimelist.net/anime/40776/Haikyuu_To_the_Top_Part_2,9
mattslist,35889,Hakata Tonkotsu Ramens,https://myanimelist.net/anime/35889/Hakata_Tonkotsu_Ramens,4
mattslist,21855,Hanamonogatari,https://myanimelist.net/anime/21855/Hanamonogatari,7
mattslist,46569,Hell's Paradise,https://myanimelist.net/anime/46569/Jigokuraku,7
mattslist,40938,"Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",https://myanimelist.net/anime/40938/Hige_wo_Soru_Soshite_Joshikousei_wo_Hirou,6
mattslist,11617,High School DxD,https://myanimelist.net/anime/11617/High_School_DxD,1
mattslist,24703,High School DxD BorN,https://myanimelist.net/anime/24703/High_School_DxD_BorN,1
mattslist,34281,High School DxD Hero,https://myanimelist.net/anime/34281/High_School_DxD_Hero,1
mattslist,15451,High School DxD New,https://myanimelist.net/anime/15451/High_School_DxD_New,1
mattslist,8074,High School of the Dead,https://myanimelist.net/anime/8074/Highschool_of_the_Dead,4
mattslist,42897,Horimiya,https://myanimelist.net/anime/42897/Horimiya,6
mattslist,31338,Hundred,https://myanimelist.net/anime/31338/Hundred,3
mattslist,11061,Hunter x Hunter,https://myanimelist.net/anime/11061/Hunter_x_Hunter_2011,9
mattslist,12189,Hyouka,https://myanimelist.net/anime/12189/Hyouka,7
mattslist,36098,I Want To Eat Your Pancreas,https://myanimelist.net/anime/36098/Kimi_no_Suizou_wo_Tabetai,7
mattslist,50796,Insomniacs After School,https://myanimelist.net/anime/50796/Kimi_wa_Houkago_Insomnia,8
mattslist,40010,Interspecies Reviewers,https://myanimelist.net/anime/40010/Ishuzoku_Reviewers,4
mattslist,10408,Into the Forest of Fireflies' Light,https://myanimelist.net/anime/10408/Hotarubi_no_Mori_e,5
mattslist,34542,Inuyashiki: Last Hero,https://myanimelist.net/anime/34542/Inuyashiki,4
mattslist,28121,Is It Wrong to Try to Pick Up Girls in a Dungeon?,https://myanimelist.net/anime/28121/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka,6
mattslist,37347,Is It Wrong to Try to Pick Up Girls in a Dungeon? II,https://myanimelist.net/anime/37347/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_II,6
mattslist,40454,Is It Wrong to Try to Pick Up Girls in a Dungeon? III,https://myanimelist.net/anime/40454/Dungeon_ni_Deai_wo_Motomeru_no_wa_Machigatteiru_Darou_ka_III,6
mattslist,14719,JoJo's Bizarre Adventure (2012),https://myanimelist.net/anime/14719/JoJo_no_Kimyou_na_Bouken_TV,7
mattslist,31933,JoJo's Bizarre Adventure: Diamond Is Unbreakable,https://myanimelist.net/anime/31933/JoJo_no_Kimyou_na_Bouken_Part_4__Diamond_wa_Kudakenai,7
mattslist,37991,JoJo's Bizarre Adventure: Golden Wind,https://myanimelist.net/anime/37991/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze,7
mattslist,20899,JoJo's Bizarre Adventure: Stardust Crusaders,https://myanimelist.net/anime/20899/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders,8
mattslist,26055,JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt,https://myanimelist.net/anime/26055/JoJo_no_Kimyou_na_Bouken_Part_3__Stardust_Crusaders_-_Egypt-hen,8
mattslist,40787,"Josee, the Tiger and the Fish",https://myanimelist.net/anime/40787/Josee_to_Tora_to_Sakana-tachi,8
mattslist,40748,Jujutsu Kaisen,https://myanimelist.net/anime/40748/Jujutsu_Kaisen,8
mattslist,48561,Jujutsu Kaisen 0,https://myanimelist.net/anime/48561/Jujutsu_Kaisen_0_Movie,8
mattslist,51009,Jujutsu Kaisen Season 2,https://myanimelist.net/anime/51009/Jujutsu_Kaisen_2nd_Season,8
mattslist,35639,Just Because!,https://myanimelist.net/anime/35639/Just_Because,7
mattslist,14467,K,https://myanimelist.net/anime/14467/K,2
mattslist,37999,Kaguya-sama: Love is War,https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,9
mattslist,52198,Kaguya-sama: Love is War -The First Kiss That Never Ends-,https://myanimelist.net/anime/52198/Kaguya-sama_wa_Kokurasetai__First_Kiss_wa_Owaranai,9
mattslist,43608,Kaguya-sama: Love is War -Ultra Romantic-,https://myanimelist.net/anime/43608/Kaguya-sama_wa_Kokurasetai__Ultra_Romantic,10
mattslist,43609,Kaguya-sama: Love is War OVA,https://myanimelist.net/anime/43609/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen_OVA,7
mattslist,40591,Kaguya-sama: Love is War?,https://myanimelist.net/anime/40591/Kaguya-sama_wa_Kokurasetai_Tensai-tachi_no_Renai_Zunousen,9
mattslist,34933,Kakegurui,https://myanimelist.net/anime/34933/Kakegurui,7
mattslist,37086,Kakegurui××,https://myanimelist.net/anime/37086/Kakegurui××,7
mattslist,32686,Keijo!!!!!!!!,https://myanimelist.net/anime/32686/Keijo,2
mattslist,36027,King's Game,https://myanimelist.net/anime/36027/Ousama_Game_The_Animation,1
mattslist,9260,Kizumonogatari Part 1: Iron-Blooded,https://myanimelist.net/anime/9260/Kizumonogatari_I__Tekketsu-hen,7
